epoch,train f1 score,val f1 score
1,0.5541543781145124,0.6113049546406141
2,0.6321570222719414,0.6692254012561061
3,0.6773110952913658,0.6950453593859037
4,0.7123970304078104,0.7222609909281228
5,0.7261263093664192,0.7334263782274948
6,0.7464659818976914,0.7501744591765527
7,0.76690735279162,0.7634333565945569
8,0.7768737923319434,0.7690160502442428
9,0.8021966846333775,0.7655268667131891
10,0.8205023899115225,0.7655268667131891
11,0.8408420624427947,0.7564549895324494
12,0.8689108105359503,0.7669225401256106
13,0.890470863419099,0.7487787857641311
14,0.9144716770060002,0.7508722958827634
15,0.9353198413505542,0.7424982554082344
16,0.9541340384419811,0.7431960921144453
17,0.957490084409641,0.7508722958827634
18,0.9616597172785518,0.7466852756454989
